Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
phs-bosarcalculator,,,2019-07-26 14:56:56,2019-07-26 14:57:10,14.646s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOAddCompSarCal,,To add component sar calculator,2019-07-26 14:56:56,2019-07-26 14:57:03,6.484s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOAddCompSarCal"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOAddCompSarCal"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOAddCompSarCal"").getValue(2, 1), ... ]))",,,2019-07-26 14:56:57,2019-07-26 14:57:02,5.715s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-26 14:57:02,2019-07-26 14:57:03,0.049s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOAddPolSarCal,,Add riders to add new life to the policy,2019-07-26 14:57:03,2019-07-26 14:57:03,0.865s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOAddPolSarCal"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOAddPolSarCal"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOAddPolSarCal"").getValue(2, 1), ... ]))",,,2019-07-26 14:57:03,2019-07-26 14:57:03,0.483s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BODelSarCal,,To delete or clear sar calculator,2019-07-26 14:57:03,2019-07-26 14:57:04,0.635s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BODelSarCal"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BODelSarCal"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BODelSarCal"").getValue(2, 1)]))",,,2019-07-26 14:57:04,2019-07-26 14:57:04,0.181s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-26 14:57:04,2019-07-26 14:57:04,0.008s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOEnquirySar,,To retrieve SAR Calculator level component,2019-07-26 14:57:04,2019-07-26 14:57:05,0.668s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOEnquirySar"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOEnquirySar"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOEnquirySar"").getValue(2, 1), ... ]))",,,2019-07-26 14:57:04,2019-07-26 14:57:05,0.232s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOExcludeComSarCal,,,2019-07-26 14:57:05,2019-07-26 14:57:06,1.269s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOExcludeComSarCal"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOExcludeComSarCal"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOExcludeComSarCal"").getValue(2, 1), ... ]))",,,2019-07-26 14:57:05,2019-07-26 14:57:06,0.837s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-26 14:57:06,2019-07-26 14:57:06,0.018s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOExcludePolSarCal,,To exclude policy on SAR Calculator,2019-07-26 14:57:06,2019-07-26 14:57:07,0.763s,PASSED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOExcludePolSarCal"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOExcludePolSarCal"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOExcludePolSarCal"").getValue(2, 1), ... ]))",,,2019-07-26 14:57:06,2019-07-26 14:57:07,0.366s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-26 14:57:07,2019-07-26 14:57:07,0.007s,PASSED
,,,,,,
Test Cases/phs-bosarcalculator/BOLevelComponent,,To retrieve SAR Calculator level component,2019-07-26 14:57:07,2019-07-26 14:57:07,0.697s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOLevelComponent"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOLevelComponent"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOLevelComponent"").getValue(2, 1), ... ]))",,,2019-07-26 14:57:07,2019-07-26 14:57:07,0.238s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-26 14:57:07,2019-07-26 14:57:07,0.015s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOLevelRisk,,To retrieve SAR Calculator on level risk,2019-07-26 14:57:07,2019-07-26 14:57:08,0.575s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOLevelRisk"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOLevelRisk"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOLevelRisk"").getValue(2, 1), ... ]))",,,2019-07-26 14:57:08,2019-07-26 14:57:08,0.185s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOModCompSarCal,,To modify component on SAR Calculator,2019-07-26 14:57:08,2019-07-26 14:57:09,1.254s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOModCompSarCal"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOModCompSarCal"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOModCompSarCal"").getValue(2, 1), ... ]))",,,2019-07-26 14:57:09,2019-07-26 14:57:09,0.751s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOPheqclag,,To retrieve client in agent detail on SAR Calculator,2019-07-26 14:57:09,2019-07-26 14:57:10,0.845s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOPheqclag"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOPheqclag"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOPheqclag"").getValue(2, 1), ... ]))",,,2019-07-26 14:57:10,2019-07-26 14:57:10,0.395s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-26 14:57:10,2019-07-26 14:57:10,0.009s,FAILED
